Language,ALL,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
Albanian,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
Arabic,0.03,0.04,0.01,0.0,0.02,0.02,0.0,0.01,0.0,0.03,0.06,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Basque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgarian,0.02,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catalan,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chinese,0.01,0.0,0.0,0.02,0.0,0.01,0.0,0.02,0.01,0.02,0.01,0.0,0.06,0.01,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
Croatian,0.02,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.96,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.64,0.0,0.0,0.0
Czech,0.05,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.34,0.0,0.0
Danish,0.03,0.0,0.0,0.0,0.97,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.11
Dutch,0.08,0.65,0.01,0.0,0.01,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.04,0.02,0.0,0.98,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01
Estonian,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.55,0.68,0.38,0.51,0.9,0.7,0.64,0.97,0.56,0.49,0.48,0.51,0.37,0.81,0.59,0.49,0.74,0.38,0.92,0.96,0.6,0.38,0.48,0.34,0.65,0.45,0.86,0.92
Finnish,0.01,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.03
French,0.34,0.93,0.06,0.08,0.15,0.24,0.03,0.25,0.09,0.23,0.97,0.1,0.21,0.14,0.04,0.04,0.95,0.06,0.2,0.34,0.18,0.05,0.3,0.2,0.02,0.04,0.06,0.17
Frisian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friulian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galician,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greek,0.04,0.0,0.03,0.02,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.02,0.96,0.0,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0
German,0.37,0.28,0.1,0.3,0.56,1.0,0.2,0.17,0.14,0.06,0.13,0.26,0.09,0.12,0.23,0.17,0.67,0.24,0.05,0.66,0.93,0.14,0.02,0.07,0.39,0.28,0.29,0.32
Hungarian,0.03,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,0.0,0.07,0.01,0.19,0.0,0.0
Irish/Gaelic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian,0.2,0.09,0.01,0.03,0.02,0.09,0.02,0.04,0.08,0.1,0.12,0.16,0.96,0.05,0.01,0.02,0.11,0.07,0.59,0.01,0.15,0.04,0.05,0.09,0.15,0.04,0.02,0.04
Japanese,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01
Kurdish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuanian,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.97,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low German,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourgish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maltese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Occitan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polish,0.08,0.02,0.0,0.07,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.19,0.01,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.02,0.01,0.01
Portuguese,0.05,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.07,0.04,0.0,0.02,0.0,0.0,0.0,0.24,0.01,0.0,0.0,0.01,0.0,1.0,0.0,0.01,0.0,0.0,0.0
Romanian,0.04,0.01,0.02,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Romany,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Russian,0.06,0.02,0.22,0.23,0.0,0.06,0.81,0.02,0.03,0.01,0.01,0.02,0.02,0.07,0.94,0.73,0.01,0.05,0.02,0.0,0.04,0.11,0.0,0.02,0.02,0.23,0.06,0.02
Sami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sardinian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbian/Bosnian/Montenegrin,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.29,0.0,0.0,0.0
Slovak,0.02,0.0,0.01,0.27,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
Slovenian,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.98,0.0,0.0,0.0
Spanish,0.22,0.14,0.05,0.04,0.12,0.16,0.03,0.13,0.05,0.99,0.23,0.03,0.17,0.02,0.03,0.02,0.16,0.07,0.05,0.11,0.07,0.02,0.2,0.09,0.05,0.04,0.06,0.11
Swedish,0.04,0.0,0.0,0.0,0.19,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.63,0.99
Turkish,0.02,0.02,0.11,0.01,0.0,0.05,0.0,0.0,0.05,0.0,0.02,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Ukrainian,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01
Yiddish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
